SAVE
helio||1|0|0|0|3|3
ENDSAVE
SAVE
t3||1|0|0|0|1|3
JOG1 978.433 725 0
ENT CHAO 0 700 800 100 140 140 160
ENT CHAO 920 700 780 100 140 140 160
ENT CHAO 1850 700 800 100 140 140 160
ENT PLATAFORMA 600 460 140 140 160
ENT PLATAFORMA 2100 500 140 140 160
ENT PLATAFORMA 1520 380 140 140 160
ENT PLATAFORMA 200 480 140 140 160
ENT PLATAFORMA 770 420 140 140 160
ENT CHAO 1020 620 120 80 140 140 160
ENT CHAO 2600 300 400 600 140 140 160
ENT GOSMA 1300 640
ENT GOSMA 2400 640
ENT GOSMA 150 640
ENT GOSMA 1550 640
ENT GOSMA 940 640
ENT GOSMA 600 640
ENT SLIME 2268.32 672
ENT SLIME 159.616 672
ENT SLIME 1104.65 592
ENT SLIME 1303.75 672
ENT ALIEN 123.746 676
ENT ALIEN 770.668 676
ENT ALIEN 1086.32 596
ENT ALIEN 1327.85 676
ENT ALIEN 2325.01 676
ENT FOGUETE 2380 540
ENDSAVE
